opportunity_id,account_id,account,seller_id,sales_agent,manager,regional_office,product_id,product,product_series,account_sector,account_country,deal_stage,engage_date,close_date,close_value,close_quarter,close_month,close_week_start,sales_cycle_days,purchase_type_observed
02LUGFJS,A055,Plussunin,S005,Cassey Cress,Rocco Neubert,East,P005,GTX Pro,GTX,retail,United States,Won,2017-09-25,2017-09-28,4308,2017-Q3,2017-09,2017-09-25,3,Repeat observed purchase
02SSRMSA,A037,Inity,S020,Lajuana Vencill,Dustin Brinkmann,Central,P003,GTX Plus Basic,GTX,marketing,United States,Won,2017-07-09,2017-07-13,1192,2017-Q3,2017-07,2017-07-10,4,Repeat observed purchase
02TUKBP3,A084,Zumgoity,S025,Moses Frase,Dustin Brinkmann,Central,P007,MG Special,MG,medical,United States,Lost,2017-09-25,2017-11-30,0,2017-Q4,2017-11,2017-11-27,66,
031BBF1I,A022,Finhigh,S031,Versie Hillebrand,Dustin Brinkmann,Central,P007,MG Special,MG,finance,United States,Won,2017-02-02,2017-03-30,54,2017-Q1,2017-03,2017-03-27,56,Repeat observed purchase
03CWYGC9,A035,Hottechi,S018,Kami Bicknell,Summer Sewald,West,P003,GTX Plus Basic,GTX,technology,Korea,Won,2017-05-08,2017-08-10,768,2017-Q3,2017-08,2017-08-07,94,Repeat observed purchase
03H4RXBI,A078,Y-corporation,S035,Zane Levy,Summer Sewald,West,P002,GTX Basic,GTX,employment,United States,Won,2017-10-09,2017-12-17,482,2017-Q4,2017-12,2017-12-11,69,Repeat observed purchase
03O9FNTZ,A007,Bluth Company,S008,Daniell Hammack,Rocco Neubert,East,P003,GTX Plus Basic,GTX,technology,United States,Won,2017-07-07,2017-07-09,1107,2017-Q3,2017-07,2017-07-03,2,Repeat observed purchase
03P9VXWG,,,S009,Darcel Schlecht,Melvin Marxen,Central,P002,GTX Basic,GTX,,,Prospecting,,,,,,,,
03R1VC7O,A012,Condax,S010,Donn Cantrell,Rocco Neubert,East,P003,GTX Plus Basic,GTX,medical,United States,Won,2017-10-15,2017-10-28,1062,2017-Q4,2017-10,2017-10-23,13,Repeat observed purchase
03VCDZEE,,,S023,Maureen Marcano,Summer Sewald,West,P005,GTX Pro,GTX,,,Engaging,2017-02-23,,,,,,,
03X37HOO,A084,Zumgoity,S009,Darcel Schlecht,Melvin Marxen,Central,P007,MG Special,MG,medical,United States,Lost,2017-10-16,2017-10-17,0,2017-Q4,2017-10,2017-10-16,1,
041Q1IZL,A032,Green-Plus,S035,Zane Levy,Summer Sewald,West,P005,GTX Pro,GTX,services,United States,Engaging,2017-08-15,,,,,,,
045D5MZO,A041,Kan-code,S035,Zane Levy,Summer Sewald,West,P004,GTX Plus Pro,GTX,software,United States,Won,2017-07-08,2017-07-17,5576,2017-Q3,2017-07,2017-07-17,9,Repeat observed purchase
04AOWMXV,A011,Codehow,S001,Anna Snelling,Dustin Brinkmann,Central,P002,GTX Basic,GTX,software,United States,Won,2017-12-11,2017-12-28,537,2017-Q4,2017-12,2017-12-25,17,Repeat observed purchase
04G3DK6T,A075,Warephase,S025,Moses Frase,Dustin Brinkmann,Central,P007,MG Special,MG,services,United States,Won,2017-11-09,2017-11-21,54,2017-Q4,2017-11,2017-11-20,12,Repeat observed purchase
04LU4OPA,A001,Acme Corporation,S008,Daniell Hammack,Rocco Neubert,East,P004,GTX Plus Pro,GTX,technology,United States,Won,2017-04-10,2017-06-11,5721,2017-Q2,2017-06,2017-06-05,62,Repeat observed purchase
04OAV3CV,,,S011,Elease Gluck,Celia Rouche,West,P004,GTX Plus Pro,GTX,,,Engaging,2017-05-17,,,,,,,
04SCU6DK,,,S007,Corliss Cosme,Cara Losch,East,P006,MG Advanced,MG,,,Engaging,2017-07-01,,,,,,,
04SQ7RNY,A020,Fasehatice,S032,Vicki Laflamme,Celia Rouche,West,P005,GTX Pro,GTX,retail,United States,Won,2017-08-29,2017-12-19,4577,2017-Q4,2017-12,2017-12-18,112,Repeat observed purchase
04T6SOQW,,,S018,Kami Bicknell,Summer Sewald,West,P002,GTX Basic,GTX,,,Engaging,2017-08-06,,,,,,,
04YBYVPV,A025,Ganjaflex,S028,Reed Clapper,Rocco Neubert,East,P005,GTX Pro,GTX,retail,Japan,Won,2017-08-22,2017-09-02,4649,2017-Q3,2017-09,2017-08-28,11,Repeat observed purchase
04YGLJ3N,,,S019,Kary Hendrixson,Summer Sewald,West,P004,GTX Plus Pro,GTX,,,Engaging,2017-03-17,,,,,,,
051QTX8Z,A028,Globex Corporation,S027,Niesha Huffines,Melvin Marxen,Central,P003,GTX Plus Basic,GTX,technology,Norway,Won,2016-11-26,2017-03-21,1080,2017-Q1,2017-03,2017-03-20,115,Repeat observed purchase
0558PJL2,,,S007,Corliss Cosme,Cara Losch,East,P002,GTX Basic,GTX,,,Engaging,2017-09-11,,,,,,,
055Z2OAS,A018,Dontechi,S001,Anna Snelling,Dustin Brinkmann,Central,P007,MG Special,MG,software,United States,Engaging,2017-07-19,,,,,,,
05915PPX,A076,Xx-holding,S018,Kami Bicknell,Summer Sewald,West,P006,MG Advanced,MG,finance,United States,Won,2017-08-20,2017-11-19,3517,2017-Q4,2017-11,2017-11-13,91,Repeat observed purchase
059K86LU,A045,Labdrill,S018,Kami Bicknell,Summer Sewald,West,P004,GTX Plus Pro,GTX,medical,United States,Engaging,2017-08-26,,,,,,,
05DTWSVC,A027,Genco Pura Olive Oil Company,S027,Niesha Huffines,Melvin Marxen,Central,P007,MG Special,MG,retail,Italy,Lost,2017-01-29,2017-05-05,0,2017-Q2,2017-05,2017-05-01,96,
05HLE3JL,A065,Stanredtax,S001,Anna Snelling,Dustin Brinkmann,Central,P002,GTX Basic,GTX,finance,United States,Won,2017-09-01,2017-12-03,514,2017-Q4,2017-12,2017-11-27,93,Repeat observed purchase
05QMFSF0,A071,Toughzap,S009,Darcel Schlecht,Melvin Marxen,Central,P005,GTX Pro,GTX,retail,United States,Lost,2017-03-03,2017-05-16,0,2017-Q2,2017-05,2017-05-15,74,
066V2ZGP,A056,Rangreen,S001,Anna Snelling,Dustin Brinkmann,Central,P006,MG Advanced,MG,technology,Panama,Won,2017-04-28,2017-08-14,3334,2017-Q3,2017-08,2017-08-14,108,Repeat observed purchase
06AIY3IS,A012,Condax,S022,Marty Freudenburg,Melvin Marxen,Central,P004,GTX Plus Pro,GTX,medical,United States,Won,2017-06-02,2017-08-21,5712,2017-Q3,2017-08,2017-08-21,80,Repeat observed purchase
06B7XWPC,A064,Sonron,S019,Kary Hendrixson,Summer Sewald,West,P005,GTX Pro,GTX,telecommunications,United States,Won,2017-01-02,2017-03-17,4125,2017-Q1,2017-03,2017-03-13,74,Repeat observed purchase
06C1N1F7,,,S011,Elease Gluck,Celia Rouche,West,P007,MG Special,MG,,,Engaging,2017-10-05,,,,,,,
06DUY829,A058,Ron-tech,S031,Versie Hillebrand,Dustin Brinkmann,Central,P007,MG Special,MG,medical,United States,Won,2017-03-30,2017-04-08,59,2017-Q2,2017-04,2017-04-03,9,Repeat observed purchase
06H63NKF,A013,Conecom,S009,Darcel Schlecht,Melvin Marxen,Central,P005,GTX Pro,GTX,technology,United States,Lost,2017-09-14,2017-11-20,0,2017-Q4,2017-11,2017-11-20,67,
06KTPHYC,A035,Hottechi,S029,Rosalina Dieter,Celia Rouche,West,P006,MG Advanced,MG,technology,Korea,Lost,2017-07-16,2017-07-24,0,2017-Q3,2017-07,2017-07-24,8,
06T2UPDG,A085,dambase,S006,Cecily Lampkin,Dustin Brinkmann,Central,P007,MG Special,MG,marketing,United States,Lost,2017-02-24,2017-06-05,0,2017-Q2,2017-06,2017-06-05,101,
06YBVWXZ,A012,Condax,S018,Kami Bicknell,Summer Sewald,West,P005,GTX Pro,GTX,medical,United States,Lost,2017-03-23,2017-04-03,0,2017-Q2,2017-04,2017-04-03,11,
06YL7WVJ,A058,Ron-tech,S009,Darcel Schlecht,Melvin Marxen,Central,P003,GTX Plus Basic,GTX,medical,United States,Won,2017-03-19,2017-03-21,929,2017-Q1,2017-03,2017-03-20,2,Repeat observed purchase
070M5M6X,A032,Green-Plus,S023,Maureen Marcano,Summer Sewald,West,P005,GTX Pro,GTX,services,United States,Won,2017-01-13,2017-03-25,4071,2017-Q1,2017-03,2017-03-20,71,Repeat observed purchase
072ELFQF,A038,Isdom,S020,Lajuana Vencill,Dustin Brinkmann,Central,P006,MG Advanced,MG,medical,United States,Lost,2017-07-01,2017-07-03,0,2017-Q3,2017-07,2017-07-03,2,
073UCD9F,A003,Betatech,S014,Gladys Colclough,Melvin Marxen,Central,P007,MG Special,MG,medical,Kenya,Lost,2017-09-05,2017-12-10,0,2017-Q4,2017-12,2017-12-04,96,
075SHVO3,A053,Plexzap,S032,Vicki Laflamme,Celia Rouche,West,P007,MG Special,MG,retail,United States,Lost,2017-05-23,2017-08-12,0,2017-Q3,2017-08,2017-08-07,81,
07BT6PBZ,A072,Treequote,S025,Moses Frase,Dustin Brinkmann,Central,P007,MG Special,MG,telecommunications,United States,Won,2017-04-20,2017-05-02,58,2017-Q2,2017-05,2017-05-01,12,Repeat observed purchase
07DPEL0B,A009,Cancity,S001,Anna Snelling,Dustin Brinkmann,Central,P002,GTX Basic,GTX,retail,United States,Won,2017-09-13,2017-11-25,629,2017-Q4,2017-11,2017-11-20,73,Repeat observed purchase
07FRJ44N,A009,Cancity,S014,Gladys Colclough,Melvin Marxen,Central,P004,GTX Plus Pro,GTX,retail,United States,Lost,2017-06-25,2017-07-03,0,2017-Q3,2017-07,2017-07-03,8,
07GUKIG3,,,S033,Violet Mclelland,Cara Losch,East,P007,MG Special,MG,,,Engaging,2017-12-05,,,,,,,
07WKR17A,A072,Treequote,S014,Gladys Colclough,Melvin Marxen,Central,P004,GTX Plus Pro,GTX,telecommunications,United States,Won,2017-06-27,2017-09-17,6193,2017-Q3,2017-09,2017-09-11,82,Repeat observed purchase
086279IX,A041,Kan-code,S019,Kary Hendrixson,Summer Sewald,West,P005,GTX Pro,GTX,software,United States,Won,2017-03-15,2017-06-14,4369,2017-Q2,2017-06,2017-06-12,91,Repeat observed purchase
08APB75Q,A038,Isdom,S020,Lajuana Vencill,Dustin Brinkmann,Central,P002,GTX Basic,GTX,medical,United States,Won,2017-02-05,2017-05-13,501,2017-Q2,2017-05,2017-05-08,97,Repeat observed purchase
08EX3XKE,A070,The New York Inquirer,S008,Daniell Hammack,Rocco Neubert,East,P007,MG Special,MG,medical,United States,Won,2017-04-25,2017-05-01,51,2017-Q2,2017-05,2017-05-01,6,Repeat observed purchase
08KE6ZQN,A074,Vehement Capital Partners,S002,Boris Faz,Rocco Neubert,East,P006,MG Advanced,MG,finance,United States,Won,2017-03-31,2017-04-01,2819,2017-Q2,2017-04,2017-03-27,1,Repeat observed purchase
08O63ECM,A026,Gekko & Co,S010,Donn Cantrell,Rocco Neubert,East,P006,MG Advanced,MG,retail,United States,Won,2017-08-26,2017-12-01,3281,2017-Q4,2017-12,2017-11-27,97,Repeat observed purchase
08Q8A6M9,A061,Scottech,S022,Marty Freudenburg,Melvin Marxen,Central,P007,MG Special,MG,marketing,United States,Won,2017-06-05,2017-06-22,60,2017-Q2,2017-06,2017-06-19,17,Repeat observed purchase
093R7PK9,A082,Zoomit,S032,Vicki Laflamme,Celia Rouche,West,P007,MG Special,MG,entertainment,United States,Won,2017-03-15,2017-06-11,52,2017-Q2,2017-06,2017-06-05,88,Repeat observed purchase
09AILR04,A066,Statholdings,S009,Darcel Schlecht,Melvin Marxen,Central,P005,GTX Pro,GTX,employment,United States,Won,2017-10-21,2017-10-29,4732,2017-Q4,2017-10,2017-10-23,8,Repeat observed purchase
09BVA55J,A060,Scotfind,S035,Zane Levy,Summer Sewald,West,P002,GTX Basic,GTX,software,United States,Won,2017-02-19,2017-06-25,598,2017-Q2,2017-06,2017-06-19,126,Repeat observed purchase
09C4GR2W,A033,Groovestreet,S032,Vicki Laflamme,Celia Rouche,West,P003,GTX Plus Basic,GTX,retail,United States,Won,2017-05-05,2017-08-10,1151,2017-Q3,2017-08,2017-08-07,97,Repeat observed purchase
09GK47AY,A051,Ontomedia,S013,Garret Kinder,Cara Losch,East,P003,GTX Plus Basic,GTX,employment,United States,Lost,2017-07-29,2017-08-02,0,2017-Q3,2017-08,2017-07-31,4,
09P7O0LQ,A022,Finhigh,S006,Cecily Lampkin,Dustin Brinkmann,Central,P007,MG Special,MG,finance,United States,Won,2017-06-08,2017-09-13,60,2017-Q3,2017-09,2017-09-11,97,Repeat observed purchase
09RN3MHV,A041,Kan-code,S032,Vicki Laflamme,Celia Rouche,West,P005,GTX Pro,GTX,software,United States,Won,2017-05-26,2017-09-21,5074,2017-Q3,2017-09,2017-09-18,118,Repeat observed purchase
09W047QT,A073,Umbrella Corporation,S010,Donn Cantrell,Rocco Neubert,East,P005,GTX Pro,GTX,finance,United States,Won,2017-07-05,2017-08-10,4565,2017-Q3,2017-08,2017-08-07,36,Repeat observed purchase
09YE9QOV,A023,Finjob,S015,Hayden Neloms,Celia Rouche,West,P006,MG Advanced,MG,employment,United States,Won,2016-11-05,2017-03-11,3393,2017-Q1,2017-03,2017-03-06,126,Repeat observed purchase
0A1LN7GB,,,S033,Violet Mclelland,Cara Losch,East,P007,MG Special,MG,,,Engaging,2017-03-09,,,,,,,
0AJ6LTZ0,A030,Golddex,S018,Kami Bicknell,Summer Sewald,West,P002,GTX Basic,GTX,finance,United States,Won,2017-02-03,2017-03-14,622,2017-Q1,2017-03,2017-03-13,39,Repeat observed purchase
0AN86YDG,A033,Groovestreet,S023,Maureen Marcano,Summer Sewald,West,P003,GTX Plus Basic,GTX,retail,United States,Won,2017-04-16,2017-04-24,1234,2017-Q2,2017-04,2017-04-24,8,Repeat observed purchase
0AQGBN7B,,,S023,Maureen Marcano,Summer Sewald,West,P003,GTX Plus Basic,GTX,,,Engaging,2017-05-08,,,,,,,
0AR9HD16,A024,Funholding,S009,Darcel Schlecht,Melvin Marxen,Central,P002,GTX Basic,GTX,finance,United States,Won,2017-05-06,2017-08-17,526,2017-Q3,2017-08,2017-08-14,103,Repeat observed purchase
0AXGVKN8,A001,Acme Corporation,S013,Garret Kinder,Cara Losch,East,P007,MG Special,MG,technology,United States,Won,2017-02-24,2017-05-28,55,2017-Q2,2017-05,2017-05-22,93,Repeat observed purchase
0B09WODM,A048,Mathtouch,S002,Boris Faz,Rocco Neubert,East,P003,GTX Plus Basic,GTX,marketing,Jordan,Lost,2017-10-24,2017-10-26,0,2017-Q4,2017-10,2017-10-23,2,
0BG8WJSX,A023,Finjob,S023,Maureen Marcano,Summer Sewald,West,P002,GTX Basic,GTX,employment,United States,Lost,2017-05-11,2017-05-22,0,2017-Q2,2017-05,2017-05-22,11,
0BQTT5UF,A019,Donware,S022,Marty Freudenburg,Melvin Marxen,Central,P005,GTX Pro,GTX,marketing,United States,Prospecting,,,,,,,,
0BSYDRMT,A007,Bluth Company,S028,Reed Clapper,Rocco Neubert,East,P007,MG Special,MG,technology,United States,Won,2017-06-30,2017-09-18,60,2017-Q3,2017-09,2017-09-18,80,Repeat observed purchase
0BYU67KG,A025,Ganjaflex,S034,Wilburn Farren,Cara Losch,East,P006,MG Advanced,MG,retail,Japan,Lost,2017-10-01,2017-12-13,0,2017-Q4,2017-12,2017-12-11,73,
0C34Z5UZ,,,S014,Gladys Colclough,Melvin Marxen,Central,P005,GTX Pro,GTX,,,Prospecting,,,,,,,,
0CECGPEJ,,,S025,Moses Frase,Dustin Brinkmann,Central,P006,MG Advanced,MG,,,Prospecting,,,,,,,,
0CR37ETK,,,S007,Corliss Cosme,Cara Losch,East,P006,MG Advanced,MG,,,Engaging,2017-11-05,,,,,,,
0CSJCW8I,A023,Finjob,S032,Vicki Laflamme,Celia Rouche,West,P005,GTX Pro,GTX,employment,United States,Won,2017-04-27,2017-05-17,4406,2017-Q2,2017-05,2017-05-15,20,Repeat observed purchase
0CTHPQGT,A009,Cancity,S017,Jonathan Berthelot,Melvin Marxen,Central,P007,MG Special,MG,retail,United States,Won,2017-07-09,2017-07-19,53,2017-Q3,2017-07,2017-07-17,10,Repeat observed purchase
0D37PQA0,,,S033,Violet Mclelland,Cara Losch,East,P003,GTX Plus Basic,GTX,,,Engaging,2017-07-08,,,,,,,
0D8Y5JA0,,,S001,Anna Snelling,Dustin Brinkmann,Central,P004,GTX Plus Pro,GTX,,,Prospecting,,,,,,,,
0D95JSVW,A034,Hatfan,S016,James Ascencio,Summer Sewald,West,P004,GTX Plus Pro,GTX,services,United States,Won,2017-07-02,2017-09-16,6192,2017-Q3,2017-09,2017-09-11,76,Repeat observed purchase
0DDBDPJU,A024,Funholding,S020,Lajuana Vencill,Dustin Brinkmann,Central,P002,GTX Basic,GTX,finance,United States,Won,2017-05-20,2017-08-05,557,2017-Q3,2017-08,2017-07-31,77,Repeat observed purchase
0DFXFKT7,A059,Rundofase,S009,Darcel Schlecht,Melvin Marxen,Central,P003,GTX Plus Basic,GTX,technology,United States,Lost,2016-11-17,2017-03-21,0,2017-Q1,2017-03,2017-03-20,124,
0DLEXLEV,A079,Yearin,S002,Boris Faz,Rocco Neubert,East,P004,GTX Plus Pro,GTX,retail,United States,Won,2017-06-01,2017-09-07,6117,2017-Q3,2017-09,2017-09-04,98,Repeat observed purchase
0DRC1U9Q,A032,Green-Plus,S023,Maureen Marcano,Summer Sewald,West,P002,GTX Basic,GTX,services,United States,Engaging,2016-11-20,,,,,,,
0DY00J6O,A076,Xx-holding,S023,Maureen Marcano,Summer Sewald,West,P004,GTX Plus Pro,GTX,finance,United States,Won,2017-11-28,2017-12-11,5886,2017-Q4,2017-12,2017-12-11,13,Repeat observed purchase
0DYZ71WX,A025,Ganjaflex,S028,Reed Clapper,Rocco Neubert,East,P002,GTX Basic,GTX,retail,Japan,Won,2017-11-02,2017-11-16,585,2017-Q4,2017-11,2017-11-13,14,Repeat observed purchase
0E1HHXGB,A019,Donware,S033,Violet Mclelland,Cara Losch,East,P007,MG Special,MG,marketing,United States,Lost,2017-10-13,2017-10-15,0,2017-Q4,2017-10,2017-10-09,2,
0E761F02,A041,Kan-code,S019,Kary Hendrixson,Summer Sewald,West,P002,GTX Basic,GTX,software,United States,Won,2017-03-16,2017-05-02,579,2017-Q2,2017-05,2017-05-01,47,Repeat observed purchase
0E8D6TCQ,,,S025,Moses Frase,Dustin Brinkmann,Central,P003,GTX Plus Basic,GTX,,,Prospecting,,,,,,,,
0EOFVU05,A051,Ontomedia,S010,Donn Cantrell,Rocco Neubert,East,P006,MG Advanced,MG,employment,United States,Won,2016-12-09,2017-03-28,3421,2017-Q1,2017-03,2017-03-27,109,Repeat observed purchase
0EX7ML4W,A022,Finhigh,S014,Gladys Colclough,Melvin Marxen,Central,P004,GTX Plus Pro,GTX,finance,United States,Lost,2017-03-10,2017-05-10,0,2017-Q2,2017-05,2017-05-08,61,
0EYXI1UN,,,S015,Hayden Neloms,Celia Rouche,West,P006,MG Advanced,MG,,,Engaging,2017-04-19,,,,,,,
0F9GSZRO,A004,Bioholding,S025,Moses Frase,Dustin Brinkmann,Central,P002,GTX Basic,GTX,medical,Philipines,Lost,2017-08-05,2017-11-11,0,2017-Q4,2017-11,2017-11-06,98,
0FGWN6O0,A038,Isdom,S025,Moses Frase,Dustin Brinkmann,Central,P002,GTX Basic,GTX,medical,United States,Won,2017-07-10,2017-07-19,588,2017-Q3,2017-07,2017-07-17,9,Repeat observed purchase
0FIG6ZP2,A047,Massive Dynamic,S008,Daniell Hammack,Rocco Neubert,East,P003,GTX Plus Basic,GTX,entertainment,United States,Won,2017-03-08,2017-06-27,1142,2017-Q2,2017-06,2017-06-26,111,Repeat observed purchase
0FLFT1R4,A047,Massive Dynamic,S007,Corliss Cosme,Cara Losch,East,P002,GTX Basic,GTX,entertainment,United States,Won,2017-05-19,2017-08-03,516,2017-Q3,2017-08,2017-07-31,76,Repeat observed purchase
0FST40LV,A067,Streethex,S001,Anna Snelling,Dustin Brinkmann,Central,P007,MG Special,MG,retail,Belgium,Won,2017-03-13,2017-05-25,52,2017-Q2,2017-05,2017-05-22,73,Repeat observed purchase
0G0S9TB8,A051,Ontomedia,S010,Donn Cantrell,Rocco Neubert,East,P005,GTX Pro,GTX,employment,United States,Lost,2017-05-05,2017-08-13,0,2017-Q3,2017-08,2017-08-07,100,
0G65AQVC,A041,Kan-code,S016,James Ascencio,Summer Sewald,West,P002,GTX Basic,GTX,software,United States,Lost,2017-04-05,2017-05-30,0,2017-Q2,2017-05,2017-05-29,55,
0GJ586J0,A069,Sunnamplex,S021,Markita Hansen,Celia Rouche,West,P007,MG Special,MG,marketing,Poland,Lost,2017-02-27,2017-03-14,0,2017-Q1,2017-03,2017-03-13,15,
0GM4GDFT,A007,Bluth Company,S008,Daniell Hammack,Rocco Neubert,East,P005,GTX Pro,GTX,technology,United States,Lost,2017-10-19,2017-10-28,0,2017-Q4,2017-10,2017-10-23,9,
0GRGY09E,A056,Rangreen,S009,Darcel Schlecht,Melvin Marxen,Central,P005,GTX Pro,GTX,technology,Panama,Lost,2017-09-21,2017-11-25,0,2017-Q4,2017-11,2017-11-20,65,
0GS0L5VR,,,S001,Anna Snelling,Dustin Brinkmann,Central,P007,MG Special,MG,,,Engaging,2017-08-14,,,,,,,
0GTJE2VQ,A026,Gekko & Co,S034,Wilburn Farren,Cara Losch,East,P002,GTX Basic,GTX,retail,United States,Won,2017-03-20,2017-06-14,497,2017-Q2,2017-06,2017-06-12,86,Repeat observed purchase
0GXXCA37,A015,Domzoom,S009,Darcel Schlecht,Melvin Marxen,Central,P005,GTX Pro,GTX,entertainment,United States,Won,2017-04-17,2017-05-01,4226,2017-Q2,2017-05,2017-05-01,14,Repeat observed purchase
0GYOOM2R,A061,Scottech,S017,Jonathan Berthelot,Melvin Marxen,Central,P005,GTX Pro,GTX,marketing,United States,Lost,2017-08-18,2017-08-25,0,2017-Q3,2017-08,2017-08-21,7,
0H4AHJRI,A008,Bubba Gump,S008,Daniell Hammack,Rocco Neubert,East,P002,GTX Basic,GTX,software,United States,Lost,2017-05-14,2017-06-01,0,2017-Q2,2017-06,2017-05-29,18,
0H9C9J03,,,S021,Markita Hansen,Celia Rouche,West,P003,GTX Plus Basic,GTX,,,Engaging,2017-08-25,,,,,,,
0HB6OUIN,A012,Condax,S014,Gladys Colclough,Melvin Marxen,Central,P005,GTX Pro,GTX,medical,United States,Lost,2017-03-29,2017-05-20,0,2017-Q2,2017-05,2017-05-15,52,
0HELH2Q0,A010,Cheers,S016,James Ascencio,Summer Sewald,West,P003,GTX Plus Basic,GTX,entertainment,United States,Lost,2017-02-26,2017-05-29,0,2017-Q2,2017-05,2017-05-29,92,
0HR4TEU4,A055,Plussunin,S022,Marty Freudenburg,Melvin Marxen,Central,P003,GTX Plus Basic,GTX,retail,United States,Prospecting,,,,,,,,
0HUWQWOJ,,,S021,Markita Hansen,Celia Rouche,West,P007,MG Special,MG,,,Engaging,2017-10-09,,,,,,,
0HVUV9OY,,,S014,Gladys Colclough,Melvin Marxen,Central,P002,GTX Basic,GTX,,,Engaging,2017-07-21,,,,,,,
0I6U3MQ6,A024,Funholding,S033,Violet Mclelland,Cara Losch,East,P002,GTX Basic,GTX,finance,United States,Engaging,2017-01-12,,,,,,,
0IAJNXTD,A015,Domzoom,S009,Darcel Schlecht,Melvin Marxen,Central,P007,MG Special,MG,entertainment,United States,Lost,2017-10-08,2017-10-10,0,2017-Q4,2017-10,2017-10-09,2,
